source,target,value
7335,10136,744549400000.0
7335,10177,697828500000.0
7335,10181,878924400000.0
7335,10183,762845460000.0
7335,10185,692212330000.0
7335,10198,580957240000.0
7335,10227,622203500000.0
7335,10294,788424200000.0
7335,10295,682565300000.0
7335,10296,475223920000.0
7335,10297,493659550000.0
7335,10298,949469100000.0
7335,10299,582822260000.0
7335,10946,549819250000.0
7335,10950,575358240000.0
7335,11368,557489850000.0
7335,11584,711529860000.0
7335,11650,476011070000.0
7335,11694,487508000000.0
7335,11857,512353960000.0
7335,12896,625929700000.0
7335,12901,517438960000.0
7335,12902,669445100000.0
7335,12903,481058550000.0
7335,12906,643993300000.0
7335,13280,729708900000.0
7335,13386,513166740000.0
7335,13420,637408300000.0
7335,13424,604653300000.0
7335,13487,1140360900000.0
7335,14201,499129650000.0
7335,14206,728969800000.0
7335,14209,478928760000.0
7335,14210,753208700000.0
7335,14232,650039800000.0
7335,14282,614837900000.0
7335,14695,463913250000.0
7335,14747,603034550000.0
7335,15010,488361500000.0
7335,15117,602691530000.0
7335,15234,572667460000.0
7335,15236,770634740000.0
7335,15238,591626000000.0
7335,15449,467463400000.0
7335,15562,464792980000.0
7335,15606,685575800000.0
7335,15689,501114200000.0
7335,15932,607014000000.0
7335,16258,468656620000.0
7335,16421,810964700000.0
7335,16540,463869020000.0
7335,16684,507924870000.0
7335,16910,583426100000.0
7335,17303,769829960000.0
7335,17304,475261800000.0
7335,17306,535274200000.0
7335,17307,777032960000.0
7335,17329,464619470000.0
7335,17355,497926570000.0
7335,17379,516862380000.0
7335,17489,508666350000.0
7335,17491,550228200000.0
7335,17625,550659160000.0
7335,17636,521351040000.0
7335,17637,578357700000.0
7335,17725,502893970000.0
7335,17796,521787200000.0
7335,17963,551790800000.0
7335,18051,553258250000.0
7335,18057,510429040000.0
7335,19531,477558600000.0
7335,20395,537012040000.0
7335,20399,585396260000.0
7335,20400,670703300000.0
7335,20402,530833740000.0
7335,20404,541257630000.0
7335,20405,583922200000.0
7335,20496,1070735750000.0
7335,21866,730274600000.0
7335,21867,791217960000.0
7335,21868,648041300000.0
7335,21871,1151278000000.0
7335,21872,711250700000.0
7335,21919,610591970000.0
7335,21921,727490950000.0
7335,21963,746151100000.0
7335,22508,735607650000.0
7335,22615,1180431000000.0
7335,22849,575101860000.0
7335,22850,504247550000.0
7335,23007,512126580000.0
7335,23008,568315150000.0
7335,23010,554341760000.0
7335,23012,641425540000.0
7335,23013,660383400000.0
7335,23104,848157600000.0
7335,23333,498771900000.0
7335,23338,743991930000.0
7335,23339,562406750000.0
7335,23919,603093660000.0
7335,25778,609311900000.0
7335,25779,602459300000.0
7335,25781,490685730000.0
7335,25783,593789300000.0
7335,25784,627019400000.0
7335,25941,522275700000.0
7335,25946,600463050000.0
7335,25947,558297900000.0
7335,26037,643005350000.0
7335,26363,735409860000.0
8151,4685,499441470000.0
8151,4693,512350620000.0
8151,4696,768264960000.0
8151,4919,495445870000.0
8151,4953,535127000000.0
8151,4954,562789900000.0
8151,4955,578886570000.0
8151,4957,476433200000.0
8151,4965,524102430000.0
8151,5001,596207400000.0
8151,8342,503627220000.0
8151,10135,473380300000.0
8151,13487,483565270000.0
8151,21871,488194640000.0
8151,22615,500556860000.0
16803,59,833941000000.0
16803,61,886102560000.0
16803,62,889147000000.0
16803,63,502923430000.0
16803,67,558379600000.0
16803,69,712913000000.0
16803,70,687515570000.0
16803,71,518805360000.0
16803,73,485196170000.0
16803,74,485930400000.0
16803,77,511029120000.0
16803,78,510566470000.0
16803,79,606608360000.0
16803,92,521521400000.0
16803,121,729322300000.0
16803,174,691132900000.0
16803,175,564458550000.0
16803,180,1177008500000.0
16803,182,714719900000.0
16803,185,714719900000.0
16803,186,714719900000.0
16803,189,714719900000.0
16803,190,714719900000.0
16803,191,714719900000.0
16803,192,714719900000.0
16803,193,714719900000.0
16803,196,625232700000.0
16803,221,810078700000.0
16803,222,813868700000.0
16803,224,467258700000.0
16803,225,462835500000.0
16803,232,641000600000.0
16803,233,639716300000.0
16803,234,746248340000.0
16803,235,714719900000.0
16803,236,559504500000.0
16803,237,547620130000.0
16803,238,1326714600000.0
16803,239,1190331200000.0
16803,240,873306460000.0
16803,241,874958500000.0
16803,242,676327500000.0
16803,243,714719900000.0
16803,255,714719900000.0
16803,262,541779850000.0
16803,284,873102600000.0
16803,298,749770830000.0
16803,306,1494916500000.0
16803,307,1569506700000.0
16803,308,1290831400000.0
16803,310,1066197250000.0
16803,311,1314096700000.0
16803,312,1060632200000.0
16803,313,1515568800000.0
16803,314,991640000000.0
16803,315,1292427200000.0
16803,316,1594747500000.0
16803,317,714719900000.0
16803,318,1083093100000.0
16803,319,839363850000.0
16803,320,680606000000.0
16803,321,858385700000.0
16803,322,772270800000.0
16803,323,1219122700000.0
16803,324,705377200000.0
16803,325,582851900000.0
16803,351,1216895300000.0
16803,354,1378021100000.0
16803,355,4330298000000.0
16803,356,541182720000.0
16803,357,691640800000.0
16803,359,1090932400000.0
16803,403,1421553600000.0
16803,404,1412404000000.0
16803,461,492314530000.0
16803,503,534276300000.0
16803,542,747189900000.0
